                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.293,                0.81442,                0.94717,                0.95767,                0.94863,                0.96504,                0.56952,                 1.2673,                0.77244,                0.95906,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.2679,                0.80057,                0.94371,                0.95454,                0.94712,                0.96216,                 0.5953,                 1.1584,                0.74853,                0.93187,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.2735,                0.79428,                0.94832,                0.96223,                  0.949,                0.96303,                0.60004,                 1.1471,                0.72995,                0.93217,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.282,                0.81015,                0.95008,                0.94763,                0.94324,                0.96678,                0.56319,                 1.2219,                0.81021,                0.94081,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.2669,                0.78826,                0.94482,                0.95559,                0.95095,                0.96332,                0.57836,                 1.2317,                0.75723,                0.95248,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.2659,                0.77375,                0.94275,                 0.9654,                0.95059,                 0.9721,                0.57868,                 1.2139,                0.73264,                 0.9427,               0.001505,               0.001505,               0.001505
                     52,                 1.2545,                0.77206,                 0.9397,                0.95584,                0.94693,                0.96833,                0.59937,                 1.1648,                0.73259,                 0.9343,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.237,                0.76725,                0.93698,                0.96395,                0.95898,                0.96726,                0.59516,                 1.2176,                0.67733,                0.95055,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.2574,                0.77106,                0.94164,                0.96634,                0.94992,                0.97586,                0.62316,                  1.145,                0.69864,                0.93243,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2648,                0.76227,                0.94528,                0.96563,                0.95526,                0.96971,                0.61645,                 1.1525,                0.68712,                 0.9355,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.2483,                0.76539,                0.93663,                0.96188,                 0.9524,                0.96809,                0.60187,                 1.1731,                0.72614,                0.93305,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.2363,                0.76379,                0.93899,                0.96308,                0.95183,                  0.968,                0.58917,                 1.1992,                0.71505,                0.93863,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2498,                0.74807,                0.93629,                0.96392,                0.95671,                0.97217,                0.63005,                 1.1097,                 0.6694,                0.91801,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2346,                 0.7488,                0.93419,                0.96221,                0.96215,                0.97488,                0.60953,                  1.185,                0.66058,                0.94061,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2356,                0.73054,                0.93629,                0.96177,                0.95104,                 0.9741,                0.61947,                 1.1785,                0.66355,                0.93272,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2208,                0.72028,                0.93192,                0.97165,                0.96314,                0.97041,                0.62546,                 1.1354,                 0.6311,                0.93006,               0.001406,               0.001406,               0.001406
                     62,                 1.2259,                0.73209,                0.93528,                0.97391,                0.96468,                0.97648,                0.62807,                 1.1387,                0.65266,                0.92992,              0.0013961,              0.0013961,              0.0013961
